"GEO_ID","NAME","P3_001N","P3_002N","P3_003N","P3_004N","P3_005N","P3_006N","P3_007N","P3_008N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!White alone"," !!Total:!!Black or African American alone"," !!Total:!!American Indian and Alaska Native alone"," !!Total:!!Asian alone"," !!Total:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Some Other Race alone"," !!Total:!!Two or More Races",
"860Z200US01256","ZCTA5 01256","645","592","14","0","1","0","3","35",
"860Z200US01257","ZCTA5 01257","2140","1936","20","12","6","0","34","132",
"860Z200US01258","ZCTA5 01258","160","145","0","0","6","0","2","7",
"860Z200US01259","ZCTA5 01259","643","608","2","2","4","0","6","21",
"860Z200US01260","ZCTA5 01260","233","209","0","0","5","0","10","9",
"860Z200US01262","ZCTA5 01262","1758","1628","24","3","14","0","23","66",
"860Z200US01264","ZCTA5 01264","219","202","1","1","3","0","0","12",
"860Z200US01266","ZCTA5 01266","1208","1105","9","4","8","0","19","63",
"860Z200US01267","ZCTA5 01267","7876","6387","262","13","505","0","173","536",
"860Z200US01270","ZCTA5 01270","755","705","5","0","2","0","3","40",
"860Z200US01301","ZCTA5 01301","18042","15310","440","46","290","4","541","1411",
"860Z200US01330","ZCTA5 01330","1500","1404","4","3","3","0","16","70",
"860Z200US01331","ZCTA5 01331","13656","12312","138","35","97","4","249","821",
"860Z200US01337","ZCTA5 01337","2562","2426","9","1","13","0","9","104",
"860Z200US01338","ZCTA5 01338","127","110","0","0","1","0","5","11",
"860Z200US01339","ZCTA5 01339","1487","1339","8","4","12","0","11","113",
"860Z200US01340","ZCTA5 01340","1803","1666","9","2","9","0","10","107",
"860Z200US01341","ZCTA5 01341","1539","1469","2","2","17","0","8","41",
"860Z200US01342","ZCTA5 01342","1538","1192","70","3","24","3","114","132",
"860Z200US01343","ZCTA5 01343","165","142","1","0","1","0","3","18",
"860Z200US01344","ZCTA5 01344","1665","1512","8","10","4","0","9","122",
"860Z200US01346","ZCTA5 01346","352","314","1","1","4","0","2","30",
"860Z200US01347","ZCTA5 01347","204","175","10","0","0","0","6","13",
"860Z200US01349","ZCTA5 01349","827","744","13","0","8","0","8","54",
"860Z200US01350","ZCTA5 01350","118","106","2","0","2","0","1","7",
"860Z200US01351","ZCTA5 01351","2293","2099","10","9","30","0","22","123",
"860Z200US01354","ZCTA5 01354","1546","1367","16","5","23","2","23","110",
"860Z200US01355","ZCTA5 01355","879","804","4","3","7","0","9","52",
"860Z200US01360","ZCTA5 01360","2871","2642","6","6","15","0","33","169",
"860Z200US01364","ZCTA5 01364","7665","6824","111","16","76","0","110","528",
"860Z200US01366","ZCTA5 01366","1187","1101","4","1","6","0","25","50",
"860Z200US01367","ZCTA5 01367","506","454","3","2","7","0","5","35",
"860Z200US01368","ZCTA5 01368","1283","1204","4","1","9","0","3","62",
"860Z200US01370","ZCTA5 01370","3932","3622","26","10","21","0","30","223",
"860Z200US01373","ZCTA5 01373","4526","4127","34","13","63","0","56","233",
"860Z200US01375","ZCTA5 01375","3639","2733","119","17","445","0","77","248",
"860Z200US01376","ZCTA5 01376","5324","4555","100","33","51","0","166","419",
"860Z200US01378","ZCTA5 01378","780","709","1","5","8","0","9","48",
"860Z200US01379","ZCTA5 01379","774","684","11","0","8","0","10","61",
"860Z200US01380","ZCTA5 01380","82","74","2","0","0","0","2","4",
"860Z200US01420","ZCTA5 01420","41940","25303","3032","256","1532","16","5871","5930",
"860Z200US01430","ZCTA5 01430","6303","5787","50","15","53","0","58","340",
"860Z200US01431","ZCTA5 01431","3193","2953","18","9","16","1","27","169",
"860Z200US01432","ZCTA5 01432","8221","6461","368","16","423","4","246","703",
"860Z200US01434","ZCTA5 01434","1652","1014","407","24","94","0","45","68",
"860Z200US01436","ZCTA5 01436","3208","2921","47","3","17","4","35","181",
"860Z200US01438","ZCTA5 01438","414","380","8","0","3","0","8","15",
"860Z200US01440","ZCTA5 01440","21577","17529","782","60","403","10","892","1901",
"860Z200US01450","ZCTA5 01450","11298","9752","145","14","583","4","146","654",
"860Z200US01451","ZCTA5 01451","5461","4637","62","10","366","0","67","319",
"860Z200US01452","ZCTA5 01452","4328","3997","20","9","29","0","48","225",
"860Z200US01453","ZCTA5 01453","43752","29638","3053","141","1390","13","4082","5435",
"860Z200US01460","ZCTA5 01460","10141","8526","138","16","829","4","114","514",
"860Z200US01462","ZCTA5 01462","11818","10274","209","13","212","6","251","853",
"860Z200US01463","ZCTA5 01463","11621","10368","147","16","235","1","166","688",
"860Z200US01464","ZCTA5 01464","7427","5657","599","12","202","6","132","819",
"860Z200US01468","ZCTA5 01468","4309","4012","48","3","25","0","55","166",
"860Z200US01469","ZCTA5 01469","7055","6313","98","21","77","1","99","446",
